18 recordings, train split, ASR = large-v3-turbo, update every 1 s
{'kappa': 0.35, 'max_speed': 1.5, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.747  ±1 0.947  dua 0.979  wrong 0.002  lag 1.5
{'kappa': 0.35, 'max_speed': 1.5, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.746  ±1 0.946  dua 0.979  wrong 0.002  lag 1.5
{'kappa': 0.35, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.746  ±1 0.947  dua 0.979  wrong 0.001  lag 1.5
{'kappa': 0.35, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.746  ±1 0.947  dua 0.979  wrong 0.001  lag 1.5
{'kappa': 0.35, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.745  ±1 0.946  dua 0.979  wrong 0.001  lag 1.5
{'kappa': 0.35, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.745  ±1 0.947  dua 0.979  wrong 0.001  lag 1.5
{'kappa': 0.35, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.746  ±1 0.948  dua 0.979  wrong 0.001  lag 1.5
{'kappa': 0.35, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.745  ±1 0.946  dua 0.979  wrong 0.001  lag 1.5
{'kappa': 0.35, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.759  ±1 0.950  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.759  ±1 0.949  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.757  ±1 0.947  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.760  ±1 0.950  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.759  ±1 0.949  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.758  ±1 0.947  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.761  ±1 0.950  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.761  ±1 0.949  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.759  ±1 0.947  dua 0.977  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.756  ±1 0.948  dua 0.978  wrong 0.003  lag 1.4
{'kappa': 0.35, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.756  ±1 0.948  dua 0.978  wrong 0.003  lag 1.4
{'kappa': 0.35, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.754  ±1 0.946  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 4.0, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.758  ±1 0.948  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 4.0, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.757  ±1 0.948  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 4.0, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.756  ±1 0.946  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 4.0, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.758  ±1 0.949  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 4.0, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.758  ±1 0.948  dua 0.978  wrong 0.002  lag 1.4
{'kappa': 0.35, 'max_speed': 4.0, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.756  ±1 0.946  dua 0.977  wrong 0.002  lag 1.4
{'kappa': 0.5, 'max_speed': 1.5, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.742  ±1 0.947  dua 0.980  wrong 0.002  lag 1.6
{'kappa': 0.5, 'max_speed': 1.5, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.742  ±1 0.947  dua 0.980  wrong 0.002  lag 1.6
{'kappa': 0.5, 'max_speed': 1.5, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.743  ±1 0.947  dua 0.980  wrong 0.002  lag 1.6
{'kappa': 0.5, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.741  ±1 0.947  dua 0.980  wrong 0.003  lag 1.6
{'kappa': 0.5, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.742  ±1 0.947  dua 0.980  wrong 0.003  lag 1.6
{'kappa': 0.5, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.743  ±1 0.947  dua 0.980  wrong 0.002  lag 1.6
{'kappa': 0.5, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.741  ±1 0.947  dua 0.980  wrong 0.003  lag 1.6
{'kappa': 0.5, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.742  ±1 0.947  dua 0.980  wrong 0.003  lag 1.6
{'kappa': 0.5, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.743  ±1 0.947  dua 0.980  wrong 0.002  lag 1.6
